Name-additional,yearID,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
abadfe01,2023,Fernando Abad*,37,COL,6.1,6,0,3,4.26,5.06,0.13,-0.33,0,109.4,5.03,1,0.1,0.4,0,0.1,1,0.509,0.5,"$100,000 ",Free Agency
abbotan01,2023,Andrew Abbott*,24,CIN,109.1,21,21,47,3.87,466.00%,-15.00%,22.00%,0,10270.00%,516.00%,1600.00%,170.00%,,-0.1,260.00%,26,0.58,0.51,,Amateur Draft
abbotco01,2023,Cory Abbott,27,WSN,39.1,22,0,29,6.64,492.00%,-18.00%,-32.00%,0,9550.00%,456.00%,-900.00%,-90.00%,0.6,0.1,-40.00%,-5,0.46,0.495,,Waivers
abreual01,2023,Albert Abreu,27,NYY,59,45,0,39,5.95,494.00%,13.00%,-33.00%,0.29,10150.00%,484.00%,-800.00%,-80.00%,0.65,0,-20.00%,-2,0.482,0.495,"$738,700 ",Waivers
abreubr01,2023,Bryan Abreu,26,HOU,72,72,0,17,2.13,468.00%,12.00%,-31.00%,0.08,9820.00%,425.00%,1600.00%,170.00%,1.34,0.1,250.00%,24,0.523,0.51,"$745,200 ",Amateur Free Agent
acevedo01,2023,Domingo Acevedo,29,OAK,9.1,9,0,11,10.61,468.00%,-66.00%,-31.00%,0,9350.00%,470.00%,-600.00%,-60.00%,1.46,-0.2,-70.00%,-5,0.433,0.496,"$725,000 ",Free Agency
actonga01,2023,Garrett Acton,25,OAK,5.2,6,0,8,12.71,544.00%,-62.00%,-36.00%,0,9010.00%,514.00%,-500.00%,-50.00%,0.91,0,-40.00%,-4,0.423,0.497,,Free Agency
adamja01,2023,Jason Adam,31,TBR,54.1,56,0,21,3.48,462.00%,12.00%,-31.00%,0,9650.00%,404.00%,300.00%,30.00%,1.26,-0.1,70.00%,9,0.505,0.502,"$1,775,000 ",Free Agency
adamsau02,2023,Austin Adams,32,ARI,17.1,24,0,12,6.23,491.00%,22.00%,-32.00%,0,9870.00%,431.00%,-400.00%,-40.00%,0.88,0,-20.00%,-2,0.485,0.498,,Free Agency
adcocty01,2023,Ty Adcock,26,SEA,15.2,12,0,7,4.02,450.00%,10.00%,-30.00%,0,9060.00%,371.00%,-100.00%,-10.00%,0.73,0,10.00%,1,0.494,0.5,,Amateur Draft
adonjo01,2023,Joan Adon,24,WSN,51.2,12,10,37,6.45,468.00%,-19.00%,17.00%,0,9900.00%,499.00%,-800.00%,-80.00%,0.34,0,-30.00%,-3,0.435,0.495,,
akinke01,2023,Keegan Akin*,28,BAL,23.2,24,1,22,8.37,479.00%,18.00%,-30.00%,0.47,9650.00%,462.00%,-1000.00%,-100.00%,0.93,0,-80.00%,-8,0.458,0.494,"$731,100 ",Amateur Draft
alberha01,2023,Hanser Alberto,30,CHW,1.2,2,0,4,21.6,463.00%,-58.00%,-31.00%,0,10800.00%,530.00%,-300.00%,-30.00%,0,0.1,-10.00%,-3,0.363,0.498,"$454,285 ",Free Agency
